epoch,train_loss,val_dice
1,0.7713456600904465,0.014158528298139572
2,0.761749729514122,0.014718725346028805
3,0.7544376800457636,0.015220687724649906
4,0.7526882439851761,0.015436366200447083
5,0.7499254941940308,0.015914468094706535
6,0.7478435337543488,0.015994058921933174
7,0.7489734838406245,0.016263216733932495
8,0.7456928640604019,0.015943609178066254
9,0.7471314171950022,0.01596631482243538
10,0.7430474112431208,0.015608850866556168
11,0.7440000822146734,0.015628961846232414
12,0.7418999771277109,0.01584862917661667
13,0.7419157971938452,0.015432176180183887
14,0.7425385862588882,0.01547228917479515
15,0.7414526244004568,0.015520773828029633
16,0.7416883607705435,0.015323498286306858
17,0.7418239514032999,0.015316027216613293
18,0.7417388806740443,0.015432686544954777
19,0.7398824195067087,0.015081117860972881
20,0.7411813487609228,0.015209346078336239
21,0.7409487068653107,0.015245280228555202
22,0.7405850092569987,0.01503690704703331
23,0.7398154238859812,0.015066434629261494
24,0.7414385328690211,0.01509170513600111
25,0.7399391929308573,0.01501526776701212
26,0.7382415781418482,0.015078789554536343
27,0.7389504512151083,0.014878197573125362
28,0.7393223841985067,0.01498009730130434
29,0.7404637138048807,0.014884973876178265
30,0.7383890897035599,0.014997504651546478
31,0.7380427072445551,0.01519984845072031
32,0.7383880019187927,0.015154782682657242
33,0.7376270095507304,0.015304806642234325
34,0.7366024851799011,0.01529748272150755
35,0.7376514474550883,0.015497785992920399
36,0.7364040513833364,0.015496945939958096
37,0.7370143532752991,0.015725525096058846
38,0.7368034521738688,0.015852658078074455
39,0.7366649905840555,0.015985094010829926
40,0.7372004141410192,0.01630137488245964
41,0.7363676975170771,0.01638682372868061
42,0.7367866436640421,0.016208605840802193
43,0.7367446621259054,0.016800638288259506
44,0.7373415728410085,0.016942616552114487
45,0.7345331609249115,0.017690403386950493
46,0.7362854977448782,0.017719659954309464
47,0.7348423451185226,0.018068810924887657
48,0.7341717630624771,0.018844744190573692
49,0.7364804446697235,0.019222429022192955
50,0.7335883975028992,0.019702589139342308
51,0.7335270593563715,0.020891383290290833
52,0.733183686931928,0.021362081170082092
53,0.7338556249936422,0.02125050127506256
54,0.7311614602804184,0.02331569604575634
55,0.7323245853185654,0.024205109104514122
56,0.7313873519500097,0.026896938681602478
57,0.7292128503322601,0.025276510044932365
58,0.7304129550854365,0.029701635241508484
59,0.7312956750392914,0.029657216742634773
60,0.7301323811213175,0.029224125668406487
