epoch,train_loss,val_auc,val_acc
1,0.7218506918712095,0.10714285714285714,0.6363636363636364
2,0.7149062928828326,0.21428571428571427,0.6363636363636364
3,0.6879211826757952,0.46428571428571425,0.5454545454545454
4,0.6589405983686447,0.4642857142857143,0.36363636363636365
5,0.6604361994699999,0.8571428571428571,0.5454545454545454
6,0.6003927398811687,0.8571428571428571,0.6363636363636364
7,0.6967208466746591,0.8928571428571428,0.6363636363636364
8,0.6293246691877191,0.8571428571428571,0.7272727272727273
9,0.5803991860964082,0.7857142857142857,0.6363636363636364
10,0.5384218828244642,0.6785714285714285,0.6363636363636364
